Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Euryphallus								Euryphallus cinqueportsae	(Thornton & New, 1981)	Euryphallus cinqueportsae; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Euryphallus								Euryphallus cooki	(Thornton & New, 1981)	Euryphallus cooki; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Euryphallus								Euryphallus defoei	(Thornton & New, 1981)	Euryphallus defoei; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Euryphallus								Euryphallus selkirki	(Thornton & New, 1981)	Euryphallus selkirki; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Euryphallus								Euryphallus skottsbergi	(Thornton & New, 1981)	Euryphallus skottsbergi; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Gondwanapsocus								Gondwanapsocus australis	Schmidt & New, 2004	
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Onychophallus								Onychophallus diemenensis	Schmidt & New, 2004	
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Prionotodrilus								Prionotodrilus parvus	(Smithers & Thornton, 1975)	Prionotodrilus parvus; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Prionotodrilus								Prionotodrilus serratus	(Schmidt & Thornton, 1993)	Prionotodrilus serratus; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Psocophloea								Psocophloea sarahae	Schmidt & New, 2004	
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Telmopsocus								Telmopsocus waldheimensis	Schmidt & New, 2004	
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Villopsocus								Villopsocus tasmaniensis	Schmidt & New, 2004	
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Weddellopsocus								Weddellopsocus carrilloi	(Thornton & Lyall, 1978)	Weddellopsocus carrilloi; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Weddellopsocus								Weddellopsocus flavus	(Thornton & Lyall, 1978)	Weddellopsocus flavus; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Weddellopsocus								Weddellopsocus valdiviensis	(Blanchard, 1851)	Weddellopsocus nigrens (Thornton & Lyall, 1978); Weddellopsocus valdiviensis; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Weddellopsocus								Weddellopsocus avius	(Smithers, 1964)	Weddellopsocus avius; 
Psocodea	Psocomorpha	Homilopsocidea				Elipsocidae		Weddellopsocus								Weddellopsocus griseus	(New & Thornton, 1981)	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus punctulatus	Lienhard, 2014	
Psocodea	Trogiomorpha	Psyllipsocetae				Psyllipsocidae		Psyllipsocus								Psyllipsocus radiopictus	Lienhard, 2014	
